record_id		String		Tag
e31f7a64-1a39-4e8f-81f1-0ab18efb775f		youtube.com		#URL
e31f7a64-1a39-4e8f-81f1-0ab18efb775f		youtube.com		#URL
e31f7a64-1a39-4e8f-81f1-0ab18efb775f		youtube.com		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		123-reg.co		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		123-reg.co		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		123-reg.co		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
1dc8ba49-d9a9-4f42-a4df-9d6d1c3477b5		co.uk		#URL
26a2c89f-ba52-442d-8f78-6be30cfb82e1		20 Aug 2014		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		04:51:22 		#TIME
26a2c89f-ba52-442d-8f78-6be30cfb82e1		automattic.com		#URL
26a2c89f-ba52-442d-8f78-6be30cfb82e1		http://17andbaking.com,xmlrpc.ph		#URL
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 24, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 24, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 24, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 24, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 24, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 24, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 25, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 25, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 25, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 25, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 26, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 26, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 26, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 26, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 27, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 28, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 29, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 30, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		January 30, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		February 1, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		February 1, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		February 2, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		February 15, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		February 16, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		August 20, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		August 26, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		December 25, 2010		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		April 5, 2011		#DATE
26a2c89f-ba52-442d-8f78-6be30cfb82e1		April 28, 2011		#DATE
