record_id	Old_String
c8f8b82b-304f-4c1b-9209-30a762454128	Print this page Pin it
c8f8b82b-304f-4c1b-9209-30a762454128	Questionable Water Conservation Coffee Anyone
c8f8b82b-304f-4c1b-9209-30a762454128	To keep your points and personal information safe, we need to verify that it's really you
c8f8b82b-304f-4c1b-9209-30a762454128	To activate your account, please confirm your password
c8f8b82b-304f-4c1b-9209-30a762454128	When you have confirmed your password, you will be able to log in through Facebook on both sites
c8f8b82b-304f-4c1b-9209-30a762454128	Enter your password *Please note that your points, prizes and activities will not be shared between programs within our VIP network
c8f8b82b-304f-4c1b-9209-30a762454128	Welcome back to 106.3 The Buzz It appears that you already have an account on this site associated with 
c8f8b82b-304f-4c1b-9209-30a762454128	To connect your existing account with your Facebook account, just click on the account activation button below
c8f8b82b-304f-4c1b-9209-30a762454128	You will maintain your existing profile and VIP program points
c8f8b82b-304f-4c1b-9209-30a762454128	After you do this, you will be able to always log in to using your Facebook account
c8f8b82b-304f-4c1b-9209-30a762454128	*Please note that your points, prizes and activities will not be shared between programs within our VIP network
c8f8b82b-304f-4c1b-9209-30a762454128	Please fill out the information below to help us provide you a better experience
c8f8b82b-304f-4c1b-9209-30a762454128	Zip Subscribe to Newsletter Sign into 106.3 The Buzz User Name (Email) Password Register on 106.3 The Buzz quickly by logging in with your Facebook account
c8f8b82b-304f-4c1b-9209-30a762454128	It's just as secure, and no password to remember
c8f8b82b-304f-4c1b-9209-30a762454128	Registration 106.3 The Buzz Register on 106.3 The Buzz quickly by logging in with your Facebook account
c8f8b82b-304f-4c1b-9209-30a762454128	It's just as secure, and no password to remember
c8f8b82b-304f-4c1b-9209-30a762454128	106.3 The Buzz Song *Please enter a song name
c8f8b82b-304f-4c1b-9209-30a762454128	Artist (Optional) Your Name *Please enter your name
c8f8b82b-304f-4c1b-9209-30a762454128	Your Email (Optional) Thank you for your request
c8f8b82b-304f-4c1b-9209-30a762454128	Print this page Pin it
